id;libelle;niveau
1;Villages uniform PCI;Automotive Tactics architectures
2;Wisconsin Facilitator Incredible;reinvent
3;eco-centric Bedfordshire mesh;Configuration UIC-Franc
4;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire
5;portal calculating Metal;real-time discrete redundant
6;Synergistic Personal Loan Account Sleek;Borders
7;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate
8;interfaces;Garden Dale Wallis and Futuna
9;generating;Computers Small Fresh Gloves back-end
10;interface;compress lavender Investment Account
