id;code;jhi_start;jhi_end
1;Canadian Dollar;2019-05-27T01:34:47;2019-05-27T02:34:31
2;Designer Persistent;2019-05-26T22:11:27;2019-05-27T12:22:53
3;24/7 Re-contextualized cross-platform;2019-05-27T03:02:06;2019-05-26T23:08:48
4;withdrawal Solomon Islands Licensed;2019-05-26T18:16:30;2019-05-27T10:42:17
5;Bedfordshire;2019-05-26T21:37:22;2019-05-27T13:20:36
6;Kentucky Algerian Dinar Clothing;2019-05-27T02:01:55;2019-05-26T18:53:39
7;turn-key;2019-05-27T12:00:50;2019-05-27T10:08:14
8;Yen synthesize Creative;2019-05-27T11:01:17;2019-05-26T22:06:20
9;bandwidth azure;2019-05-27T01:19:39;2019-05-26T17:15:58
10;Enhanced deposit parsing;2019-05-27T00:59:50;2019-05-27T01:55:22
